id,year,statename,pcname,candidate,sex,age,category,party,general,postal,total,electors,polled,rank,win,alliance
1,2016,Kerala,MANJESHWAR,P B ABDUL RAZAK,M,60,GEN,IUML,,,56870,208165,158886,1,1,UDF
2,2016,Kerala,MANJESHWAR,K SURENDRAN,M,46,GEN,BJP,,,56781,208165,158886,2,0,NDA
3,2016,Kerala,MANJESHWAR,ADV. C.H.KUNHAMBU,M,56,GEN,CPM,,,42565,208165,158886,3,0,LDF
4,2016,Kerala,MANJESHWAR,BASHEER AHAMMAD S M,M,36,GEN,PDP,,,759,208165,158886,4,0,Others
5,2016,Kerala,MANJESHWAR,None of the Above,NULL,NULL,GEN,NOTA,,,646,208165,158886,5,0,Others
6,2016,Kerala,MANJESHWAR,SUNDARA K,M,47,GEN,IND,,,467,208165,158886,6,0,Others
7,2016,Kerala,MANJESHWAR,RAVICHANDRA,M,38,GEN,BSP,,,365,208165,158886,7,0,Others
8,2016,Kerala,MANJESHWAR,K P MUNEER,M,45,GEN,IND,,,224,208165,158886,8,0,Others
9,2016,Kerala,MANJESHWAR,JOHN D SOUZA,M,53,GEN,IND,,,207,208165,158886,9,0,Others
10,2016,Kerala,KASARAGOD,N A NELLIKKUNNU,M,62,GEN,IUML,,,64727,188906,144781,1,1,UDF
11,2016,Kerala,KASARAGOD,RAVISHA THANTRI KUNTAR,M,48,GEN,BJP,,,56120,188906,144781,2,0,NDA
12,2016,Kerala,KASARAGOD,DR. A A AMEEN,M,61,GEN,INL,,,21615,188906,144781,3,0,Others
13,2016,Kerala,KASARAGOD,None of the Above,NULL,NULL,GEN,NOTA,,,661,188906,144781,4,0,Others
14,2016,Kerala,KASARAGOD,VIJAYAKUMAR B,M,43,GEN,BSP,,,585,188906,144781,5,0,Others
15,2016,Kerala,KASARAGOD,ROSHAN KUMAR,M,32,GEN,IND,,,508,188906,144781,6,0,Others
16,2016,Kerala,KASARAGOD,A DAMODARAN,M,59,GEN,IND,,,283,188906,144781,7,0,Others
17,2016,Kerala,KASARAGOD,MUNEER MUNAMBAM,M,33,GEN,IND,,,250,188906,144781,8,0,Others
18,2016,Kerala,UDMA,K KUNHIRAMAN,M,68,GEN,CPM,,,70679,199962,160924,1,1,LDF
19,2016,Kerala,UDMA,K SUDHAKARAN,M,67,GEN,INC,,,66847,199962,160924,2,0,UDF
20,2016,Kerala,UDMA,ADV. K SHREEKANTH,M,40,GEN,BJP,,,21231,199962,160924,3,0,NDA
21,2016,Kerala,UDMA,None of the Above,NULL,NULL,GEN,NOTA,,,405,199962,160924,4,0,Others
22,2016,Kerala,UDMA,GOPI KUTHIRAKALLU,M,35,GEN,PDP,,,353,199962,160924,5,0,Others
23,2016,Kerala,UDMA,DAMODARAN P,M,45,GEN,IND,,,349,199962,160924,6,0,Others
24,2016,Kerala,UDMA,MOHAMMED PAKYARA,M,30,GEN,SDPI,,,331,199962,160924,7,0,Others
25,2016,Kerala,UDMA,SUDHAKARAN CHERUKANAM,M,47,GEN,IND,,,208,199962,160924,8,0,Others
26,2016,Kerala,UDMA,GOVINDAN B ALINTHAZHE,M,42,GEN,APoI,,,165,199962,160924,9,0,Others
27,2016,Kerala,UDMA,ABBAS MOTHALAPPARA,M,59,GEN,IND,,,157,199962,160924,10,0,Others
28,2016,Kerala,UDMA,K KUNHIRAMAN PERIYANGANAM,M,61,GEN,IND,,,145,199962,160924,11,0,Others
29,2016,Kerala,KANHANGAD,E.CHANDRASHEKARAN,M,67,GEN,CPI,,,80558,204931,161302,1,1,LDF
30,2016,Kerala,KANHANGAD,DHANYA SURESH,F,36,GEN,INC,,,54547,204931,161302,2,0,UDF
31,2016,Kerala,KANHANGAD,M P RAGHAVAN,M,49,GEN,BDJS,,,21104,204931,161302,3,0,NDA
32,2016,Kerala,KANHANGAD,CHANDRAN PARAPPA,M,38,GEN,BSP,,,965,204931,161302,4,0,Others
33,2016,Kerala,KANHANGAD,ASSAINAR MUTTUMTHALA,M,44,GEN,PDP,,,959,204931,161302,5,0,Others
34,2016,Kerala,KANHANGAD,None of the Above,NULL,NULL,GEN,NOTA,,,856,204931,161302,6,0,Others
35,2016,Kerala,KANHANGAD,SAJEEVAN R,M,33,GEN,IND,,,663,204931,161302,7,0,Others
36,2016,Kerala,KANHANGAD,MUHAMMED ALI V V,M,37,GEN,IND,,,420,204931,161302,8,0,Others
37,2016,Kerala,KANHANGAD,KOOKKAL BALAKRISHNAN,M,52,GEN,IND,,,294,204931,161302,9,0,Others
38,2016,Kerala,KANHANGAD,RAGHAVAN B POODAMKALLU,M,36,GEN,APoI,,,272,204931,161302,10,0,Others
39,2016,Kerala,KANHANGAD,BALACHANDRAN KARIMBIL,M,54,GEN,SHS,,,260,204931,161302,11,0,Others
40,2016,Kerala,KANHANGAD,K U KRISHNAKUMAR,M,40,GEN,IND,,,186,204931,161302,12,0,Others
41,2016,Kerala,KANHANGAD,M DAMODARAN,M,69,GEN,IND,,,105,204931,161302,13,0,Others
42,2016,Kerala,TRIKARIPUR,M.RAJAGOPALAN,M,55,GEN,CPM,,,79286,190119,155720,1,1,LDF
