id,year,statename,pcname,candidate,sex,age,category,party,general,postal,total,electors,polled,rank,win,alliance
1,2011,Puducherry,Mannadipet,T.P.R. SELVAM,M,39,GEN,AINRC,,,12412,27878,25045,1,1,AINRC
2,2011,Puducherry,Mannadipet,K.P.K. ARUL MURUGAN,M,35,GEN,PMK,,,7696,27878,25045,2,0,UPA
3,2011,Puducherry,Mannadipet,N. RAJARAM,M,72,GEN,IND,,,4082,27878,25045,3,0,Others
4,2011,Puducherry,Mannadipet,D. GUNASHAKARAN,M,33,GEN,IND,,,329,27878,25045,4,0,Others
5,2011,Puducherry,Mannadipet,M. LATCHUMANAN,M,57,GEN,BJP,,,156,27878,25045,5,0,Others
6,2011,Puducherry,Mannadipet,PA. VADIVELAN,M,31,GEN,JD(U),,,152,27878,25045,6,0,Others
7,2011,Puducherry,Mannadipet,V. MURUGANANDHAM,M,35,GEN,IND,,,127,27878,25045,7,0,Others
8,2011,Puducherry,Mannadipet,N.R. TANDAPANY,M,39,GEN,IND,,,91,27878,25045,8,0,Others
9,2011,Puducherry,Thirubhuvanai,P. ANGALANE,M,43,SC,AINRC,,,13733,25620,23269,1,1,AINRC
10,2011,Puducherry,Thirubhuvanai,K. JAYARAJ,M,60,SC,INC,,,8965,25620,23269,2,0,UPA
11,2011,Puducherry,Thirubhuvanai,M. DHANDAPANI,M,45,SC,IND,,,241,25620,23269,3,0,Others
12,2011,Puducherry,Thirubhuvanai,M. SUNDARAMOORTHY,M,43,SC,BJP,,,212,25620,23269,4,0,Others
13,2011,Puducherry,Thirubhuvanai,V.M. VELMURUGAN,M,27,SC,BSP,,,118,25620,23269,5,0,Others
14,2011,Puducherry,Oussudu,P. KARTHIKEYAN,M,35,SC,AINRC,,,13327,24770,22672,1,1,AINRC
15,2011,Puducherry,Oussudu,A. ELUMALAI,M,46,SC,DMK,,,8169,24770,22672,2,0,UPA
16,2011,Puducherry,Oussudu,P. SUNDARARASU PONNAS,M,53,SC,IND,,,756,24770,22672,3,0,Others
17,2011,Puducherry,Oussudu,M. PITCHEKARANE @ PITCHAIAPPAN,M,51,SC,LJP,,,224,24770,22672,4,0,Others
18,2011,Puducherry,Oussudu,S.T. CALE,M,38,SC,PB,,,77,24770,22672,5,0,Others
19,2011,Puducherry,Oussudu,A. SELVALATCHOUMY,F,34,SC,BSP,,,67,24770,22672,6,0,Others
20,2011,Puducherry,Oussudu,S. SARAGANABAVA,M,31,SC,IND,,,52,24770,22672,7,0,Others
21,2011,Puducherry,Mangalam,C. DJEACOUMAR,M,57,GEN,INC,,,14052,29006,26718,1,1,UPA
22,2011,Puducherry,Mangalam,P. ANANDABASKARAN,M,63,GEN,AINRC,,,11759,29006,26718,2,0,AINRC
23,2011,Puducherry,Mangalam,ABOOBAKKAR,M,25,GEN,IND,,,305,29006,26718,3,0,Others
24,2011,Puducherry,Mangalam,PARANDAMANE,M,32,GEN,IND,,,177,29006,26718,4,0,Others
25,2011,Puducherry,Mangalam,P. CANNANE,M,44,GEN,BJP,,,171,29006,26718,5,0,Others
26,2011,Puducherry,Mangalam,T. SIVASUBRAMANIAN,M,51,GEN,IND,,,105,29006,26718,6,0,Others
27,2011,Puducherry,Mangalam,P. PAVADAISAMY,M,40,GEN,LJP,,,87,29006,26718,7,0,Others
