id,year,statename,pcname,candidate,sex,party,total,electors,polled,rank,overpolled,win,alliance
1,2001,Tamil Nadu,ACHARAPAKKAM (SC),SELVARAJ.A,M,PMK,54114,,100793,1,53.69%,1,ADMK
2,2001,Tamil Nadu,ACHARAPAKKAM (SC),MURUGESAN. T.DR.,M,DMK,38636,,100793,2,38.33%,0,DMK
3,2001,Tamil Nadu,ACHARAPAKKAM (SC),SEKAR. E.,M,MDMK,3397,,100793,3,3.37%,0,OTHERS
4,2001,Tamil Nadu,ACHARAPAKKAM (SC),BALARAMAN. P,M,IND,2153,,100793,4,2.14%,0,OTHERS
5,2001,Tamil Nadu,ACHARAPAKKAM (SC),KADIRVELU. M,M,IND,1943,,100793,5,1.93%,0,OTHERS
6,2001,Tamil Nadu,ACHARAPAKKAM (SC),KOTHANDAM. D,M,IND,550,,100793,6,0.55%,0,OTHERS
7,2001,Tamil Nadu,ALANDUR,VALARMATHI B.,F,ADMK,94554,,198701,1,47.59%,1,ADMK
8,2001,Tamil Nadu,ALANDUR,ERAAMA VEERAPPAN,M,MGRK,81958,,198701,2,41.25%,0,DMK
9,2001,Tamil Nadu,ALANDUR,LAVAKUMAR R.,M,MDMK,13440,,198701,3,6.76%,0,OTHERS
10,2001,Tamil Nadu,ALANDUR,RAJAPPA. B.,M,PB,2728,,198701,4,1.37%,0,OTHERS
11,2001,Tamil Nadu,ALANDUR,SRINIVASAN. P.N.,M,IND,1980,,198701,5,1.00%,0,OTHERS
12,2001,Tamil Nadu,ALANDUR,SAMPATH IYANGAR. G ,M,IND,893,,198701,6,0.45%,0,OTHERS
13,2001,Tamil Nadu,ALANDUR,VEERAPPAN. M.,M,IND,891,,198701,7,0.45%,0,OTHERS
14,2001,Tamil Nadu,ALANDUR,SIVASUBRAMANIAN. T.,M,TLK,834,,198701,8,0.42%,0,OTHERS
15,2001,Tamil Nadu,ALANDUR,SAMSON A.,M,NCP,803,,198701,9,0.40%,0,OTHERS
16,2001,Tamil Nadu,ALANDUR,ANBU. S.,M,IND,620,,198701,10,0.31%,0,OTHERS
17,2001,Tamil Nadu,ALANGUDI, . VENKADACHALAM.A.,M,ADMK,59631,,139735,1,42.67%,1,ADMK
18,2001,Tamil Nadu,ALANGUDI, . SOOSAIRAJ .S.A.,M,DMK,42900,,139735,2,30.70%,0,DMK
19,2001,Tamil Nadu,ALANGUDI, . PUSHPARAJ.T.,M,IND,18052,,139735,3,12.92%,0,OTHERS
20,2001,Tamil Nadu,ALANGUDI, . CHANDRASEKARAN DR.K,M,MDMK,11578,,139735,4,8.29%,0,OTHERS
21,2001,Tamil Nadu,ALANGUDI, . YOGANANTHAM.M,M,IND,5332,,139735,5,3.82%,0,OTHERS
22,2001,Tamil Nadu,ALANGUDI, . RAMAIAHTHONDAIMAN.K,M,IND,2242,,139735,6,1.60%,0,OTHERS
23,2001,Tamil Nadu,ALANGULAM,RAJENDRAN .P.G.,M,ADMK,58498,,119509,1,48.95%,1,ADMK
24,2001,Tamil Nadu,ALANGULAM,ALADI ARUNA,M,DMK,54387,,119509,2,45.51%,0,DMK
25,2001,Tamil Nadu,ALANGULAM,KRISHNASAMY .S.S,M,MDMK,3320,,119509,3,2.78%,0,OTHERS
26,2001,Tamil Nadu,ALANGULAM,VAIKUNTAM S.,M,IND,1561,,119509,4,1.31%,0,OTHERS
27,2001,Tamil Nadu,ALANGULAM,RAVI KUMAR .P.,M,IND,821,,119509,5,0.69%,0,OTHERS
28,2001,Tamil Nadu,ALANGULAM,MADASAMY .G,M,IND,542,,119509,6,0.45%,0,OTHERS
29,2001,Tamil Nadu,ALANGULAM,ARUNA.P.,F,IND,380,,119509,7,0.32%,0,OTHERS
30,2001,Tamil Nadu,AMBASAMUDRAM,SAKTHIVEL MURUGAN.M.,M,ADMK,43021,,89554,1,48.04%,1,ADMK
31,2001,Tamil Nadu,AMBASAMUDRAM,AVUDAIAPPAN.R,M,DMK,39001,,89554,2,43.55%,0,DMK
32,2001,Tamil Nadu,AMBASAMUDRAM,FRANKLIN SELVARAJ,M,MDMK,3894,,89554,3,4.35%,0,OTHERS
33,2001,Tamil Nadu,AMBASAMUDRAM,THANGARAJA.K.,M,IND,1655,,89554,4,1.85%,0,OTHERS
34,2001,Tamil Nadu,AMBASAMUDRAM,MURUGADASAN.G,M,SP,754,,89554,5,0.84%,0,OTHERS
35,2001,Tamil Nadu,AMBASAMUDRAM,.SINGANATHAM SHANMUGA THEVAR.K.P. ,M,IND,635,,89554,6,0.71%,0,OTHERS
36,2001,Tamil Nadu,AMBASAMUDRAM,ARUMUGAM.S,M,IND,318,,89554,7,0.36%,0,OTHERS
37,2001,Tamil Nadu,AMBASAMUDRAM,ARULMANI.A.,M,IND,151,,89554,8,0.17%,0,OTHERS
38,2001,Tamil Nadu,AMBASAMUDRAM,ARINARAYANAN.M,M,IND,125,,89554,9,0.14%,0,OTHERS
39,2001,Tamil Nadu,ANAICUT,PANDURANGAN.K,M,ADMK,61333,,109064,1,56.24%,1,ADMK
40,2001,Tamil Nadu,ANAICUT,MALARVIZHI.G,F,DMK,40282,,109064,2,36.93%,0,DMK
41,2001,Tamil Nadu,ANAICUT,BASKAR BABU.K.P,M,MDMK,2829,,109064,3,2.59%,0,OTHERS
42,2001,Tamil Nadu,ANAICUT,VIJAYAN.G,M,IND,2160,,109064,4,1.98%,0,OTHERS
43,2001,Tamil Nadu,ANAICUT,EBINESAR ALBERT BENJAMIN.S ,M,IND,878,,109064,5,0.81%,0,OTHERS
44,2001,Tamil Nadu,ANAICUT,PARTHEEBAN.G.P,M,IND,646,,109064,6,0.59%,0,OTHERS
45,2001,Tamil Nadu,ANAICUT,SIVAKUMAR.M,M,IND,519,,109064,7,0.48%,0,OTHERS
46,2001,Tamil Nadu,ANAICUT,KUMAR.E,M,IND,417,,109064,8,0.38%,0,OTHERS
47,2001,Tamil Nadu,ANDHIYUR,KRISHNAN.R,M,PMK,53436,,98269,1,54.38%,1,ADMK
48,2001,Tamil Nadu,ANDHIYUR,SELVARASU.P,M,DMK,35374,,98269,2,36.00%,0,DMK
49,2001,Tamil Nadu,ANDHIYUR,THANGAVEL .M.D,M,MDMK,3808,,98269,3,3.88%,0,OTHERS
50,2001,Tamil Nadu,ANDHIYUR,RAJA .M,M,IND,2167,,98269,4,2.21%,0,OTHERS
51,2001,Tamil Nadu,ANDHIYUR,SELLAMMAL,F,IND,1556,,98269,5,1.58%,0,OTHERS
52,2001,Tamil Nadu,ANDHIYUR,PONNUSAMY.G,M,IND,1083,,98269,6,1.10%,0,OTHERS
