id,year,statename,pcname,candidate,sex,age,category,party,total,electors,polled,rank,win,alliance
1,2006,Tamil Nadu,Royapuram,"JAYAKUMAR,D.",M,45,GEN,AIADMK,50647,,95090,1,1,AIADMK
2,2006,Tamil Nadu,Royapuram,"SARKUNAPANDIAN, S P.",F,65,GEN,DMK,37144,,95090,2,0,DMK
3,2006,Tamil Nadu,Royapuram,ROYAPURAM V BABU,M,49,GEN,DMDK,5033,,95090,3,0,OTHERS
4,2006,Tamil Nadu,Royapuram,"KUMAR, V.C.",M,42,GEN,BJP,735,,95090,4,0,OTHERS
5,2006,Tamil Nadu,Royapuram,"SREENIVASULU, J.",M,40,GEN,BSP,425,,95090,5,0,OTHERS
6,2006,Tamil Nadu,Royapuram,"ALEXANDER, G.",M,43,GEN,LJP,332,,95090,6,0,OTHERS
7,2006,Tamil Nadu,Royapuram,"SORNARAJ, N.",M,41,GEN,IND,266,,95090,7,0,OTHERS
8,2006,Tamil Nadu,Royapuram,"ARIVUNITHI, K.",M,30,GEN,IND,187,,95090,8,0,OTHERS
9,2006,Tamil Nadu,Royapuram,SARAVANAN P.V.,M,30,GEN,IND,116,,95090,9,0,OTHERS
10,2006,Tamil Nadu,Royapuram,"SELVARAJ, M.",M,41,GEN,IND,91,,95090,10,0,OTHERS
11,2006,Tamil Nadu,Royapuram,"ANBARASU, V.",M,26,GEN,IND,70,,95090,11,0,OTHERS
12,2006,Tamil Nadu,Royapuram,"SUDHAKAR, R.",M,30,GEN,IND,44,,95090,12,0,OTHERS
13,2006,Tamil Nadu,Harbour,"ANBAZHAGAN, K.",M,83,GEN,DMK,26545,,60005,1,1,DMK
14,2006,Tamil Nadu,Harbour,"SEEMA BASHEER, H.",M,49,GEN,MDMK,26135,,60005,2,0,AIADMK
15,2006,Tamil Nadu,Harbour,CHANDRA PRAKASAM C,M,55,GEN,DMDK,4781,,60005,3,0,OTHERS
16,2006,Tamil Nadu,Harbour,"VAITHIALINGAM, V.",M,57,GEN,BJP,1896,,60005,4,0,OTHERS
17,2006,Tamil Nadu,Harbour,"VINOBA GANDHI, C.H.",M,43,GEN,IND,248,,60005,5,0,OTHERS
18,2006,Tamil Nadu,Harbour,"MUNUSAMY, P.",M,34,GEN,IND,112,,60005,6,0,OTHERS
