id,year,statename,pcname,candidate,sex,age,category,party,general,postal,total,electors,polled,rank,win,alliance
1,2011,West Bengal,Mekliganj,ADHIKARY PARESH CHANDRA,M,58,SC,AIFB,,,72040,170181,147357,1,1,LF
2,2011,West Bengal,Mekliganj,JAYANTA KUMAR RAY,M,44,SC,INC,,,39408,170181,147357,2,0,AITC
3,2011,West Bengal,Mekliganj,SUNIL CHANDRA RAY,M,60,SC,IND,,,23540,170181,147357,3,0,Others
4,2011,West Bengal,Mekliganj,SUBHASH BARMAN,M,34,SC,BJP,,,3713,170181,147357,4,0,NDA
5,2011,West Bengal,Mekliganj,JYOTISH ROY,M,61,SC,BSP,,,3359,170181,147357,5,0,Others
6,2011,West Bengal,Mekliganj,PRAMILA ROY,F,44,SC,SUCI,,,2593,170181,147357,6,0,Others
7,2011,West Bengal,Mekliganj,PURNENDU ROY,M,32,SC,IND,,,1474,170181,147357,7,0,Others
8,2011,West Bengal,Mekliganj,RATAN BARMAN,M,46,SC,AMB,,,1230,170181,147357,8,0,Others
9,2011,West Bengal,Mathabhanga,BINAY KRISHNA BARMAN,M,50,SC,AITC,,,78249,194088,168434,1,1,AITC
10,2011,West Bengal,Mathabhanga,ANANTA ROY,M,57,SC,CPM,,,72925,194088,168434,2,0,LF
11,2011,West Bengal,Mathabhanga,SUSHIL BARMAN,M,42,SC,BJP,,,11308,194088,168434,3,0,NDA
12,2011,West Bengal,Mathabhanga,MANTU BARMAN,M,41,SC,IND,,,2919,194088,168434,4,0,Others
13,2011,West Bengal,Mathabhanga,TILAK CHAND BARMAN,M,29,SC,BSP,,,1954,194088,168434,5,0,Others
14,2011,West Bengal,Mathabhanga,HARE KRISHNA SARKAR,M,39,SC,RPI,,,1079,194088,168434,6,0,Others
15,2011,West Bengal,Cooch behar Uttar,NAGENDRA NATH ROY,M,54,SC,AIFB,,,84825,218743,188032,1,1,LF
16,2011,West Bengal,Cooch behar Uttar,PRASENJIT BARMAN,M,77,SC,AITC,,,82628,218743,188032,2,0,AITC
17,2011,West Bengal,Cooch behar Uttar,MALATI RAVA(RAY),F,46,SC,BJP,,,12608,218743,188032,3,0,NDA
18,2011,West Bengal,Cooch behar Uttar,NIRMAL KUMAR ROY,M,51,SC,IND,,,4745,218743,188032,4,0,Others
19,2011,West Bengal,Cooch behar Uttar,RATAN BARMAN,M,28,SC,RPI,,,1883,218743,188032,5,0,Others
20,2011,West Bengal,Cooch behar Uttar,KULEN DAS,M,47,SC,IND,,,1343,218743,188032,6,0,Others
21,2011,West Bengal,Cooch behar Dakshin,AKSHAY THAKUR,M,58,GEN,AIFB,,,72028,182901,153115,1,1,LF
22,2011,West Bengal,Cooch behar Dakshin,ABDUL JALIL AHMED,M,57,GEN,AITC,,,69165,182901,153115,2,0,AITC
23,2011,West Bengal,Cooch behar Dakshin,GAYETRI KAR,F,51,GEN,BJP,,,6419,182901,153115,3,0,NDA
24,2011,West Bengal,Cooch behar Dakshin,SANAT SEN,M,33,GEN,IND,,,2207,182901,153115,4,0,Others
25,2011,West Bengal,Cooch behar Dakshin,SHYAMAL CHANDRA BARMAN,M,33,GEN,IND,,,1277,182901,153115,5,0,Others
26,2011,West Bengal,Cooch behar Dakshin,PRAHLAD CHANDRA DATTA,M,63,GEN,IND,,,745,182901,153115,6,0,Others
27,2011,West Bengal,Cooch behar Dakshin,KRISHNA KANTA BARMAN,M,31,GEN,IND,,,685,182901,153115,7,0,Others
28,2011,West Bengal,Cooch behar Dakshin,CHANCHAL SARKAR,M,36,GEN,PDCI,,,589,182901,153115,8,0,Others
29,2011,West Bengal,Sitalkuchi,HITEN BARMAN,M,60,SC,AITC,,,84651,216535,191453,1,1,AITC
30,2011,West Bengal,Sitalkuchi,BISWANATH PRAMANIK,M,57,SC,CPM,,,84394,216535,191453,2,0,LF
31,2011,West Bengal,Sitalkuchi,BHABENDRA NATH BARMAN,M,63,SC,BJP,,,8829,216535,191453,3,0,NDA
32,2011,West Bengal,Sitalkuchi,SUBAL BARMAN,M,30,SC,JMM,,,6000,216535,191453,4,0,AITC
33,2011,West Bengal,Sitalkuchi,DWIJENDRA NATH BARMAN,M,33,SC,IND,,,3547,216535,191453,5,0,Others
34,2011,West Bengal,Sitalkuchi,GOUTAM BARMAN,M,36,SC,BSP,,,2369,216535,191453,6,0,Others
35,2011,West Bengal,Sitalkuchi,SUBODH BARMAN,M,54,SC,AMB,,,1663,216535,191453,7,0,Others
36,2011,West Bengal,Sitai,KESHAB CH. RAY,M,58,SC,INC,,,79791,209580,170962,1,1,AITC
